name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
ER-C Autogun,magellan_sniperautogun_marauder,0,,250,650,,30,,5,25,5,10,3.334,5,KINETIC,30,,,0.25,2.5,0.125,2,6,1,6,,900,,,30,,,SYSTEM,kinetic8,,Unique Magellan,,General,,,,,,,,,,1.1
Flak Pods Bay,magellan_flakpod_marauder,0,,250,450,,150,,10,25,5,50,,,HIGH_EXPLOSIVE,0,,,2.6,5,0.1,90,90,0,0,,200,250,3,150,,,"SYSTEM, PD, PD_ALSO",missile5,,Unique Magellan,,Multipurpose,,,,,,,,,TRUE,35.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boneknocker,magellan_bonesaw_marauder,0,,300,450,,120,,1,75,3,10,5,5,FRAGMENTATION,30,,,0.2,2.5,0.1,2,7,1,20,,950,,,45,,,"SYSTEM, DO_NOT_CONSERVE",he7,,Unique Magellan,,General,,,,,,,,,,1.3
Rendfire SRM Bay,magellan_rendfiresrm_marauder,0,,500,800,,400,,20,6,18,4,0.25,2,FRAGMENTATION,0,,,4,1,,0,0,0,0,,750,50,10,130,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, GUIDED_POOR, MISSILE_SPREAD, DIRECT_AIM, DO_NOT_CONSERVE",missile4,,Unique Magellan,,Strike,Fast,Good,,,Volatile warheads have %s/%s chances to do %s/%s additional damage to armor. This damage is not reduced by armor.,40% | 60% | 120 | 160,,,TRUE,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonebreaker Autocannon,magellan_bonecrusher_marauder,0,,3200,500,,800,200,0,12,12,4,0.5,1,FRAGMENTATION,200,,0.1,0.4,1,,3,10,1,10,,700,,,100,,,"SYSTEM, USE_LESS_VS_SHIELDS",he15,,Unique Magellan,,Anti Armor,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s extra %s damage.",20% | 100 | Energy,,,,5.3
Gamma Lance,magellan_gamma_lance,0,,1500,700,600,,,0,40,15,2,0.318,1,KINETIC,,900,0.25,0.5,0.667,0.154,,,,,3200,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","energy12, beam8",,Unique Magellan,,Anti Shield,,,,,,,,,,20
Shortfire Rocket Bay,magellan_shortfire_marauder,0,,1050,1000,,400,,15,12,10,10,,,HIGH_EXPLOSIVE,,,,4.5,2,0.25,3,15,4,5,,500,125,10,250,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","he8, rocket10",,Unique Magellan,,Strike,Fast,None,,,,,,,TRUE,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Pellet Assault Gun,magellan_fuelpelletshotgun_ftr,0,,900,450,,210,,1,30,6,,,,ENERGY,210,,,0.84,1,,1,5,1,5,,550,,,100,,,SYSTEM,he9,,Unique Magellan,,Close Assault,,,,Spread Pattern,"Fires %s projectiles, each doing %s damage, plus %s additional damage to armor. This damage is not reduced by armor.",6-8 | 30 | 15,,,,5.3
Glowfire MRM Bay,magellan_radmissile_marauder,0,,1500,800,,300,,20,24,5,4,0.444,2,ENERGY,,,,2.25,1,,0,0,0,0,,300,100,6,150,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility12, missile6",,Unique Magellan,,General,Medium,Good,,,Each missile deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.,100 | 10,,,TRUE,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Voidshatter Lance,magellan_heavylance_builtin,0,,10000,1000,4668,,,0,7,30,2,0.25,1,FRAGMENTATION,,1400,0.5,0.25,0.5,0.75,,,,,10000,,,,,,,"SYSTEM, STRIKE, USE_VS_FRIGATES","beam15, he18",,Unique Ancient Magellan,,General,,,,,"Hits cause an explosion that deals %s extra %s damage, for each beam.",75 | Energy,,,,11.2
Electron Catapult,magellan_electroncatapult,0,,1500,600,,150,150,50,45,7,4,0.5,2,ENERGY,200,,,1,1,,3,9,3,6,,500,,,100,,,"SYSTEM, PD","energy5, pd8",,Unique Ancient Magellan,,Point Defense,,,,,,,,,,17.1
Electron Catapult Rift,magellan_electroncatapult_rift,0,,0,600,,150,200,50,45,0,,,,ENERGY,0,,,1,1,,0,0,0,0,,500,,,100,,,"SYSTEM, PD","energy7, pd10",,,,,,,,,,,,,,17.2
Electron Catapult Rift Boss,magellan_electroncatapult_rift_boss,0,,0,600,,175,200,50,45,0,,,,ENERGY,0,,,1,1,,0,0,0,0,,500,,,100,,,"SYSTEM, PD","energy7, pd10",,,,,,,,,,,,,,17.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Shotgun projectiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Pellet Sub,magellan_fuelpelletshotgun_sub,0,,0,475,,30,,0,25,0,,,,ENERGY,5,,,1,,,,,,,,550,,,,,,SYSTEM,,,,,,,,,,,,,,,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Special shit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarmfighter Missile Conversion,magellan_swarmfighter_missile,,,0,1500,,500,,100,0,0,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,400,0,10,100000,,,"SYSTEM, DIRECT_AIM",restricted,,,,Missile,Fast,Medium,,,,,,,TRUE,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flak Pods,magellan_flakpod_ftr,,,,300,,150,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.05,2.5,0.1,150,150,0,0,,300,300,4,150,,,SYSTEM,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flak Pods,magellan_anomalous_flakpod,,,,300,,150,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,7,0.5,150,150,0,0,,50,150,4,150,,,SYSTEM,,,,,,,,,,,,,,,35.5
Anomalous Flak Pods,magellan_anomalous_flakpod_rift,,,,300,,200,,,,,,0,,HIGH_EXPLOSIVE,0,,,0.1,1,,150,150,0,0,,50,150,4,150,,,SYSTEM,,,,,,,,,,,,,,,35.5
Anomalous Flak Pods,magellan_anomalous_flakpod_rift_boss,,,,300,,200,,,,,,0,,HIGH_EXPLOSIVE,0,,,0.1,1,,150,150,0,0,,50,150,4,150,,,SYSTEM,,,,,,,,,,,,,,,35.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrochar Top,magellan_bomber_civ_top_deco,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,12
Kaplan Top,magellan_carrier_marauder_top_deco,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,18
Hada Top,magellan_corvette_strikecraft_marauder_top_deco,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Unused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ripfire SRM Storm,magellan_ripfiresrmstorm,1,,6000,1200,,300,,10,8,20,240,,,FRAGMENTATION,,,,8.86,20,0.06,5,15,3,15,,560,140,6,100,,,"DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike20, missile13, magellan, magellan_adv_bp",,Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,120,,,TRUE,2.5
#Flenser Micro-CIWS,magellan_smciws_mechL,0,,300,350,,20,,1,75,2,,,,HIGH_EXPLOSIVE,0,,,1.15,10,0.05,2,7,1,10,,1100,,,10,,,"SYSTEM, PD","pd7, SR",,Magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 70% | 50%,,,,3.1
#Mini Quad Autogun,magellan_smgatling_mechR,0,,300,400,,25,,5,45,5,,,,KINETIC,0,,,0.1875,3,0.1875,1,8,2,15,,950,,,30,,,SYSTEM,kinetic6,,Magellan,,Close Support,,,,,,,,,,3.2
#Chasefire AFM Bay,magellan_crackerftr_mech,0,,500,600,,200,,20,0,3,4,0.3,2,FRAGMENTATION,0,,,2,1,,0,0,0,0,,425,175,5,150,,,"SYSTEM, ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM","missile4, SR",,Magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,3.3
#Mini PD Maser,magellan_smpdmaser_mech,0,,750,400,350,,200,0,120,6,2,0.5,,FRAGMENTATION,,75,,0.2,0.3,0.1,,,,,10000,,,,,,,"SYSTEM, PD, PD_ONLY","pd9, beam6",,Magellan,,Point Defense,,,,,,,,,,3.4
#Bonechipper,magellan_bonesaw_mechL,0,,300,450,,150,,1,75,3,,,,FRAGMENTATION,0,,,0.85,5,0.1,1,6,1,20,,950,,,45,,,SYSTEM,he7,,Magellan,,General,,,,,,,,,,3.5
#Dirty Fusion Bomb,magellan_hvyfusionbomb_ftr,0,,3000,1000,,800,,50,12,10,1,,,ENERGY,500,,0.05,0.95,1,0,0,0,0,0,,400,400,4.5,1000,,,"SYSTEM, STRIKE","strike13, rocket10",,The Herd Magellan,,Strike,Slow,None,,,Dirty fusion bombs do %s extra %s damage on hits to armor or hull.,800-1200 | High Explosive,,,TRUE,2.5
#Riptide SRM Launcher,magellan_ripfiresrm_builtin,0,,6000,1200,,300,,10,6,30,270,0.45,27,FRAGMENTATION,,,,0.2,3,0.1,5,15,3,15,,560,140,6,100,,,"SYSTEM, DO_NOT_CONSERVE, DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED",,,The Herd Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,120,,,TRUE,9
#Shredder Flenser CIWS,magellan_heavyflenser_large,0,,5500,700,,50,,1,35,20,,,,HIGH_EXPLOSIVE,25,,,0.52,15,0.07,2,8,0.5,10,,1100,,,10,,,"SYSTEM, PD, PD_ALSO","pd16, SR",,Unique Magellan,,Assault,,,,,One in five rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,,,,,
Will target missiles if no other targets are in range.,100% | 70% | 50%,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Shredder Tracers,magellan_heavyflenser_large_tracer,0,,0,725,,50,,1,35,1,,,,HIGH_EXPLOSIVE,25,,,1,1,,0,0,0,0,,1100,,,10,,,SYSTEM,,,,,,,,,,,,,,,5.1
#CFC Flenser CIWS,magellan_flenser_builtin,0,,300,400,,20,,1,100,4,40,10,20,HIGH_EXPLOSIVE,10,,,0.05,1,,2,8,1,10,,1200,,,10,,,"SYSTEM, PD","pd7, SR",,Unique Antique Magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 70% | 50%,,,,12.1
#CFC Tracers,magellan_flenser_builtin_tracer,0,,0,425,,20,,1,100,1,,,,HIGH_EXPLOSIVE,10,,,1,1,,0,0,0,0,,1200,,,10,,,SYSTEM,,,,,,,,,,,,,,,12.2
#CFC Rift,magellan_flenser_builtin_rift,0,,0,425,,30,,1,100,1,,,,HIGH_EXPLOSIVE,10,,,1,1,,0,0,0,0,,1200,,,10,,,SYSTEM,,,,,,,,,,,,,,,12.3
#Heavy Voidshatter Lance Minelayer,magellan_heavylance_builtin_minelayer,0,,,,,250,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Unique Ancient Magellan,,,,,,,,,,,,11.3
#Shockfire MRM Bay,magellan_electromissile_ftr,0,,4000,700,,400,200,50,12,10,6,,,HIGH_EXPLOSIVE,,,,10,1,,5,15,3,15,,400,100,10,160,,,"SYSTEM, DO_NOT_AIM, GROUP_LINKED","strike13, missile9",,Leveller Magellan,,Strike,Medium,Average,,,"Hits on hull or armor will %s, dealing extra damage equal to %s of the original hit.",arc to weapons and engines | 25%,,,TRUE,5.2
#Foxfire Rocket Bay,magellan_calliope_ftr,0,,750,1000,,125,,25,9,5,20,,,KINETIC,,,,4.8,2,0.2,4,12,1,15,,1000,50,3.5,175,,,"SYSTEM, DO_NOT_CONSERVE, GROUP_LINKED, GUIDED_POOR","utility9, missile5",,Unique Magellan,,Fire Support,Very Fast,Good,,,"Dumbfire missiles orient on launch, but do not continue tracking their targets.",,,,,6.2
#Salvo Gun Pod,magellan_salvoag_ftr,0,,800,700,,70,,25,40,6,,,,HIGH_EXPLOSIVE,70,,,0.5,1,,2,10,1,10,,850,,,60,,,SYSTEM,he9,,Unique Magellan,,Strike,,,,,,,,,,7.1
#Ripfire Rotary SRM,magellan_ripfireftr_rotary,0,,600,500,,300,,10,4,10,15,,,FRAGMENTATION,,,,0.25,1,,0,0,0,0,,560,140,6,100,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, GROUP_LINKED","strike9, missile4, SR",,Unique Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,120,,,TRUE,7.2
#Chasefire Rotary AFM,magellan_crackerftr_rotary,0,,500,600,,200,,20,24,10,20,0.4,4,FRAGMENTATION,,,,0.2,1,,4,12,1,15,,425,175,5,150,,,"SYSTEM, ANTI_FTR, DO_NOT_CONSERVE, GROUP_LINKED, DO_NOT_AIM","missile5, SR",,Unique Magellan,,Anti-fighter,Medium,Good,,,,,,,,8.2
#Bonecracker Core,magellan_bonecracker_ftr_core,3,,0,475,,75,,50,0,0,,,,HIGH_EXPLOSIVE,40,,,1,,,,,,,,600,,,,,,SYSTEM,,,,,,,,,,,,,,,13.1
#Bonecracker Sub,magellan_bonecracker_ftr_sub,3,,0,475,,25,,25,0,0,,,,FRAGMENTATION,5,,,1,,,,,,,,600,,,,,,SYSTEM,,,,,,,,,,,,,,,13.2
#Fuel Pellet Core,magellan_fuelpelletshotgun_core,0,,0,475,,75,,50,0,0,,,,ENERGY,40,,,1,,,,,,,,600,,,,,,SYSTEM,,,,,,,,,,,,,,,5.4
#Lao Top,magellan_targdrone_mod_top_deco,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,16
#ER Light Autogun,magellan_sniperautogun_drone,0,,250,800,,30,,5,25,3,,,,KINETIC,30,,,0.4,1,,1,5,2,5,,900,,,30,,,SYSTEM,kinetic4,,Magellan,,Fire Support,,,,,"Range extended by %s/%s/%s/%s, depending on the hull size of the carrier.",10% | 25% | 50% | 75%,,,,15
#Chasefire AFM Rack,magellan_crackerftrsingle_drone,0,,500,600,,200,,50,0,2,2,0.12,1,FRAGMENTATION,0,,,2,1,,0,0,0,0,,425,175,3.5,150,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE",missile3,,Magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,14
#Bounder Top,magellan_bounder_top_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,12
#Custom Bonegrinder Chaingun,magellan_bonegrinder_marauder,0,,1050,450,,300,,3,45,18,30,2.5,5,FRAGMENTATION,75,,,0.15,5,0.15,2,15,1,10,,1350,,,150,,,"SYSTEM, DO_NOT_CONSERVE",he16,,Unique Magellan,,Close Assault,,,,,One in three rounds is a tracer.,,,,,5.1
#Custom Bonegrinder Chaingun Tracers,magellan_bonegrinder_marauder_tracer,0,,0,450,,150,,3,0,0,,,,ENERGY,0,,,0.1,1,,0,0,0,0,,1350,,,150,,,SYSTEM,,,Unique Magellan,,,,,,,,,,,,5.2
#Strikefire MRM Bay,magellan_strikefire_marauder,0,,0,800,,250,,50,0,4,8,,,ENERGY,,,,5,1,,0,0,0,0,,500,150,8,300,,,"SYSTEM, STRIKE, USE_VS_FRIGATES, GUIDED_POOR, DIRECT_AIM",strike9,,Unique Magellan,,Strike,Medium,Average,,,Hits to armor or hull do %s additional damage to armor. This damage is not reduced by armor.,250,,,TRUE,2.1
Electron Bomb Bay,magellan_electrontorp_marauder,0,,1000,500,,75,600,0,30,8,4,,,ENERGY,0,,,0.65,1,0.35,1,4,4,5,,350,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_LINKED, SYSTEM, SYSTEM",strike10,SR_strike_only,Magellan,,Strike,,,,,,,,,,19.75
Fusion Bomb Bay,magellan_fusbomb_marauder,0,,1350,600,,75,,0,30,8,4,,,HIGH_EXPLOSIVE,0,,,0.6,2,0.2,3,5,1,10,,200,400,8,300,,,"STRIKE, USE_VS_FRIGATES, GROUP_LINKED, SYSTEM, SYSTEM",strike10,SR_strike_only,Magellan,,Strike,,,,,Unstable fusion bolts do %s extra %s damage on hits to armor or hull.,50-150 | Energy,,,,19.75
Burst Cutting Laser,magellan_herdlaser_marauder,0,,400,1000,500,,,0,16,5,,,,HIGH_EXPLOSIVE,,100,0.1,1.0,2.0,1.0,,,,,,2400,,,,,,SYSTEM,SYSTEM,"beam10, LR, no_sell, no_drop, restricted",,The Herd,,Strike,,,,,,,,,18
